case_id,module,title,priority,test_type,endpoint,method,preconditions,request,expected_http_status,expected_business_result,redis_assertions,mysql_assertions,risk_tags,source_rules,schema_valid,business_valid,validation_errors,business_review_status,review_comment
AI-LOGIN-001,login_auth,至少4个字符的中文场景标题,P1,positive,/user/code,POST,"[""前置条件1""]","{""path_params"": {}, ""query_params"": {""phone"": ""1880000""}, ""headers"": {}, ""body"": null}",200,"{""success"": true, ""error_contains"": null, ""data_assertions"": [""响应data断言""]}","[{""key_pattern"": ""login:code:1880000"", ""assertion"": ""存在"", ""expected"": ""6位数字""}]",[],"[""风险标签""]","[""RULE-LOGIN-CODE-REDIS""]",True,True,[],pending,
AI-LOGIN-002,login_auth,错误验证码登录场景,P1,negative,/user/login,POST,"[""前置条件2""]","{""path_params"": {}, ""query_params"": {}, ""headers"": {}, ""body"": {""phone"": ""18800000000"", ""code"": ""123456""}}",200,"{""success"": false, ""error_contains"": ""验证码不一致，请重新输入"", ""data_assertions"": []}",[],[],"[""风险标签""]","[""RULE-LOGIN-WRONG-CODE""]",True,True,[],pending,
AI-LOGIN-003,login_auth,正确验证码登录场景,P1,positive,/user/login,POST,"[""前置条件3""]","{""path_params"": {}, ""query_params"": {}, ""headers"": {}, ""body"": {""phone"": ""18800000000"", ""code"": ""654321""}}",200,"{""success"": true, ""error_contains"": null, ""data_assertions"": [""响应data断言""]}",[],"[{""table"": ""tb_user"", ""assertion"": ""存在授权信息"", ""expected"": ""非空""}]","[""风险标签""]","[""RULE-LOGIN-SUCCESS""]",True,True,[],pending,
AI-LOGIN-004,login_auth,未携带授权信息访问受保护接口场景,P1,negative,/user/me,GET,"[""前置条件4""]","{""path_params"": {}, ""query_params"": {}, ""headers"": {}, ""body"": null}",401,"{""success"": false, ""error_contains"": null, ""data_assertions"": []}",[],[],"[""风险标签""]","[""RULE-AUTH-UNAUTHORIZED""]",True,True,[],pending,
AI-SHOP-001,shop_query,按ID查询已存在的商铺,P1,positive,/shop/{shopId},GET,"[""RULE-SHOP-EXISTS""]","{""path_params"": {""shopId"": 1}, ""query_params"": {}, ""headers"": {}, ""body"": null}",200,"{""success"": true, ""error_contains"": null, ""data_assertions"": [""响应data断言""]}","[{""key_pattern"": ""cache:shop:{shopId}"", ""assertion"": ""存在"", ""expected"": 1}]",[],"[""缓存命中""]","[""RULE-SHOP-EXISTS""]",True,True,[],pending,
AI-SHOP-002,shop_query,按ID查询不存在的商铺,P1,negative,/shop/{shopId},GET,"[""RULE-SHOP-NOT-FOUND""]","{""path_params"": {""shopId"": 999999}, ""query_params"": {}, ""headers"": {}, ""body"": null}",200,"{""success"": false, ""error_contains"": ""店铺不存在！"", ""data_assertions"": []}","[{""key_pattern"": ""cache:shop:{shopId}"", ""assertion"": ""不存在"", ""expected"": 0}]",[],"[""缓存未命中""]","[""RULE-SHOP-NOT-FOUND""]",True,True,[],pending,
AI-SHOP-003,shop_query,按名称查询商铺,P1,positive,/shop/of/name,GET,"[""RULE-SHOP-NAME""]","{""path_params"": {}, ""query_params"": {""name"": ""103"", ""current"": 1}, ""headers"": {}, ""body"": null}",200,"{""success"": true, ""error_contains"": null, ""data_assertions"": [""响应data断言""]}",[],"[{""table"": ""tb_shop"", ""assertion"": ""名称包含关键字103"", ""expected"": 1}]","[""搜索功能""]","[""RULE-SHOP-NAME""]",True,True,[],pending,
AI-SHOP-004,shop_query,按类型ID查询商铺,P1,positive,/shop/of/type,GET,"[""RULE-SHOP-TYPE""]","{""path_params"": {}, ""query_params"": {""typeId"": 1, ""current"": 1}, ""headers"": {}, ""body"": null}",200,"{""success"": true, ""error_contains"": null, ""data_assertions"": [""响应data断言""]}",[],"[{""table"": ""tb_shop"", ""assertion"": ""typeId=1"", ""expected"": 1}]","[""类型查询""]","[""RULE-SHOP-TYPE""]",True,True,[],pending,
AI-SHOP-005,shop_query,缺少必填参数typeId时的错误响应,P1,negative,/shop/of/type,GET,"[""RULE-SHOP-TYPE-MISSING""]","{""path_params"": {}, ""query_params"": {""current"": 1}, ""headers"": {""authorization"": ""<VALID_TOKEN>""}, ""body"": null}",400,"{""success"": false, ""error_contains"": null, ""data_assertions"": []}",[],[],"[""必填参数缺失""]","[""RULE-SHOP-TYPE-MISSING""]",True,True,[],pending,
AI-DETAIL-001,shop_detail_voucher,商详接口查询已存在商铺，返回成功响应,P1,positive,/shop/detail/{shopId},GET,"[""RULE-DETAIL-PUBLIC""]","{""path_params"": {""shopId"": 1}, ""query_params"": {}, ""headers"": {}, ""body"": null}",200,"{""success"": true, ""error_contains"": null, ""data_assertions"": [""响应data包含shopId、shopName、tags、vouchers""]}",[],[],"[""公开接口""]","[""RULE-DETAIL-PUBLIC"", ""RULE-DETAIL-AGGREGATE""]",True,True,[],pending,
